timestamp;node;renewable_share;score;pods
2021/10/14 11:00:27 ;ip-172-20-73-221.ec2.internal;6132.60;7;0
2021/10/14 11:00:27 ;ip-172-20-49-155.ec2.internal;8325.40;10;1
2021/10/14 11:00:27 ;ip-172-20-58-122.ec2.internal;1249.60;1;0
2021/10/14 11:01:27 ;ip-172-20-49-155.ec2.internal;7239.40;10;1
2021/10/14 11:01:27 ;ip-172-20-58-122.ec2.internal;2608.50;3;0
2021/10/14 11:01:27 ;ip-172-20-73-221.ec2.internal;6027.30;8;0
2021/10/14 11:02:27 ;ip-172-20-58-122.ec2.internal;3244.60;3;0
2021/10/14 11:02:27 ;ip-172-20-73-221.ec2.internal;6886.50;8;0
2021/10/14 11:02:27 ;ip-172-20-49-155.ec2.internal;8155.90;10;1
2021/10/14 11:03:27 ;ip-172-20-58-122.ec2.internal;3518.80;3;0
2021/10/14 11:03:27 ;ip-172-20-73-221.ec2.internal;7366.70;8;0
2021/10/14 11:03:27 ;ip-172-20-49-155.ec2.internal;8998.10;10;1
2021/10/14 11:04:27 ;ip-172-20-49-155.ec2.internal;8791.90;10;1
2021/10/14 11:04:27 ;ip-172-20-58-122.ec2.internal;3165.70;3;0
2021/10/14 11:04:27 ;ip-172-20-73-221.ec2.internal;6761.10;7;0
2021/10/14 11:05:27 ;ip-172-20-73-221.ec2.internal;6953.10;7;0
2021/10/14 11:05:27 ;ip-172-20-49-155.ec2.internal;8703.30;10;1
2021/10/14 11:05:27 ;ip-172-20-58-122.ec2.internal;3373.40;3;0
2021/10/14 11:06:27 ;ip-172-20-49-155.ec2.internal;7051.50;10;1
2021/10/14 11:06:27 ;ip-172-20-58-122.ec2.internal;4142.10;5;0
2021/10/14 11:06:27 ;ip-172-20-73-221.ec2.internal;6552.00;9;0
2021/10/14 11:07:27 ;ip-172-20-49-155.ec2.internal;7280.60;8;0
2021/10/14 11:07:27 ;ip-172-20-58-122.ec2.internal;6184.40;7;0
